Title,Company,Job Type,Post Date,Description,Link
Senior Back-End Python Engineer,N/A,"Back end, Database",12 June 2025,"Senior Back-End Python Engineer
              
	      
              Active Prime
	    

Remote, Remote, Remote



Job Title 

        Senior Back-End Python Engineer

        Job Description
Required Skills:

Proficiency in writing optimized and clean Python code, with a strong understanding of Python libraries and frameworks like Flask and FastAPI with at least 5 years of experience
Strong knowledge of PostgreSQL, including schema design, performance tuning, and advanced query optimization. Experience with other databases is a plus.
Demonstrable experience in developing and maintaining RESTful APIs, understanding of the principles of API design, and best practices.
Familiarity with web services and third-party integrations using various protocols (SOAP, REST).
Proficient in using version control systems, especially Git, and familiar with branching and merging strategies.
Experience in designing scalable architectures and optimizing applications for performance, particularly in high-volume data environments.
Proficiency in unit and integration testing, ensuring the robustness and reliability of backend services.
Awareness of secure coding practices, vulnerability assessment, and prevention techniques specific to web applications and databases.
Excellent communication skills, both written and verbal. Ability to collaborate effectively with cross-functional teams, and willingness to adapt in a rapidly changing environment.
Writing highly performant, scalable, and efficient code in Python (Flask) with Postgres.
Experience in working with databases like Postgres.
Good knowledge of authentication using OAuth 2.
Experience in designing modern well-documented REST APIs (OAS) and API integration.
Building and shipping SaaS software.
Solid experience and background working with AWS services. Azure or GCP is also good.
Good communication skills working with email, chat, Google docs, phone, and tools such as Slack, Zoom etc.
Very comfortable reaching out and communicating with team members (both verbally and written) about engineering projects.
Identify and resolve bugs and issues across applications as they arise and self-test the fix/feature on local before sending PR as the first line of defense.
Ability to locate and leverage Python modules in-app or in open source.
Experience with automated unit testing
Fluency in written and verbal English
Ability to work North American business hours
Willing to pass a background check
Experience working remotely from home
Able to work ~40 hrs/week
Able and willing to provide references

If you are who we are looking for please start the first line of your cover letter with “I AM A SENIOR PYTHON ENGINEER WITH 5+ YEARS OF EXPERIENCE” in all CAPS
To be considered for the job please fill out this form
https://forms.clickup.com/2257368/f/24wer-59657/EDZTQ9TNVVLBMPRZF9
Restrictions

No telecommuting
No Agencies Please

Requirements
Required Skills:

Proficiency in writing optimized and clean Python code, with a strong understanding of Python libraries and frameworks like Flask and FastAPI with at least 5 years of experience
Strong knowledge of PostgreSQL, including schema design, performance tuning, and advanced query optimization. Experience with other databases is a plus.
Demonstrable experience in developing and maintaining RESTful APIs, understanding of the principles of API design, and best practices.
Familiarity with web services and third-party integrations using various protocols (SOAP, REST).
Proficient in using version control systems, especially Git, and familiar with branching and merging strategies.
Experience in designing scalable architectures and optimizing applications for performance, particularly in high-volume data environments.
Proficiency in unit and integration testing, ensuring the robustness and reliability of backend services.
Awareness of secure coding practices, vulnerability assessment, and prevention techniques specific to web applications and databases.
Excellent communication skills, both written and verbal. Ability to collaborate effectively with cross-functional teams, and willingness to adapt in a rapidly changing environment.
Writing highly performant, scalable, and efficient code in Python (Flask) with Postgres.
Experience in working with databases like Postgres.
Good knowledge of authentication using OAuth 2.
Experience in designing modern well-documented REST APIs (OAS) and API integration.
Building and shipping SaaS software.
Solid experience and background working with AWS services. Azure or GCP is also good.
Good communication skills working with email, chat, Google docs, phone, and tools such as Slack, Zoom etc.
Very comfortable reaching out and communicating with team members (both verbally and written) about engineering projects.
Identify and resolve bugs and issues across applications as they arise and self-test the fix/feature on local before sending PR as the first line of defense.
Ability to locate and leverage Python modules in-app or in open source.
Experience with automated unit testing
Fluency in written and verbal English
Ability to work North American business hours
Willing to pass a background check
Experience working remotely from home
Able to work ~40 hrs/week
Able and willing to provide references

If you are who we are looking for please start the first line of your cover letter with “I AM A SENIOR PYTHON ENGINEER WITH 5+ YEARS OF EXPERIENCE” in all CAPS
Preferred Skills (but not required):

Experience with at least one SaaS CRM system like Salesforce.com, Microsoft CRM/Dynamics, Oracle CRM On Demand, or SugarCRM and their APIs.
Strong proficiency in Github/Gitlab, implementing Continuous Integration and Continuous * Deployment (CI/CD) build systems and Test Driven Development (TDD), Pipeline in an agile workflow.
Knowledge of app development and javascript/typescript frameworks: Vue or Vuetify/VueTailwind.
Implementing Containerized deployment and container orchestration using Docker and Kubernetes (or similar alternatives).
Agile/Scrum development experience is a plus.
Previous experience working for a US-based company.

Who we are NOT looking for

Agencies
People who are looking for a side “hustle” or are starting their own business
Anyone with less than 5 years of experience

To be considered for the job please fill out this form
https://forms.clickup.com/2257368/f/24wer-59657/EDZTQ9TNVVLBMPRZF9
About the Company
About Us:
We are a small, rapidly growing Silicon Valley software company creating a state-of-the-art SaaS platform that provides data cleansing solutions for customer relationship management (CRM) software at massive companies. This engineer is a key member of the team designing and developing state-of-the-art applications and services by utilizing a variety of technologies. You will work both individually and as part of a team to create a seamless and easy-to-use experience for our customers while facilitating complex functionality within the application. You will be a part of a fast-paced, challenging, and exciting work environment. We are a certified Woman and Minority Owned Business.
To be considered for the job please fill out this form
https://forms.clickup.com/2257368/f/24wer-59657/EDZTQ9TNVVLBMPRZF9
Contact Info

Contact: Tushar Tejwani
E-mail contact: tushar.tejwani@activeprime.com
Web: https://forms.clickup.com/2257368/f/24wer-59657/EDZTQ9TNVVLBMPRZF9






Posted 12 June 2025



Back end, Database

Developer / Engineer",https://www.python.org/jobs/7913/
Software Developer – Infrastructure and Systems Support (Ref. TEC-IT-25-8),N/A,"Back end, Operations, Systems",10 June 2025,"Software Developer – Infrastructure and Systems Support (Ref. TEC-IT-25-8)
              
	      
              European Gravitational Observatory (EGO)
	    

Cascina (PI), Tuscany, Italy



Job Title 

        Software Developer – Infrastructure and Systems Support (Ref. TEC-IT-25-8)

        Job Description
The selected candidate will be part of the team that supports the software development and the system and infrastructure
About Software Development (Core Focus)

Design, develop, and maintain backend applications including APIs, web services, and client/server tools.
Implement robust, scalable, and maintainable code using Python, Bash, or similar languages.
Contribute to the evolution of services through continuous integration and deployment pipelines.
Ensure high code quality with testing, documentation, and collaborative development practices (e.g., GitLab).

About Systems and Infrastructure Support

Participate in the configuration and maintenance of infrastructure components supporting the developed software (e.g., databases, web services).
Support the development and operation of data ingestion pipelines and automated workflows.
Assist in managing MS-Windows services (such as AD domain services) as needed for integrated infrastructure support.

About Operations and Monitoring

Set up and manage tools for system monitoring, logging, and alerting.
Perform performance tuning, availability checks, and system diagnostics.
Maintain service reliability through automation and preventive maintenance.

Restrictions

No telecommuting
Agencies are OK

Requirements
Essential skills

Master’s degree in a technical or scientific discipline.
Demonstrated experience in software development for backend or infrastructure-related applications.
Proficiency with Python and/or Bash for scripting and application development.
Familiarity with Linux and Windows server environments.
Understanding of relational databases and API-based architectures.
Experience with Git version control.
Knowledge of English

Other desired skills

Experience with MS-Windows Active Directory Domain management and services.
Familiarity with identity and access management concepts (e.g., SSO, MFA, token-based auth).
Hands-on experience with configuration management tools like Puppet or Ansible.
Experience supporting user environments in research or collaborative scientific computing.

About the Company
EGO is an international consortium, founded by INFN and CNRS to foster European collaboration in gravitational-wave research. EGO is located in Cascina, near Pisa – Italy, and hosts and operates the gravitational-wave detector Virgo, a 3 km-long laser interferometer (ITF). The Virgo project involves the participation of about 130 institutions with more than 800 scientists, engineers and technicians from France, Italy, the Netherlands and other 13 European countries.
EGO welcomes applications from all suitably-qualified candidates, irrespective of gender, disability, marital or parental status, racial, ethnic or social origin, color, religion, belief, or sexual orientation.
Application Procedure:
Candidates have to send their CV and the EGO Application Form together with a cover letter and eventual reference letters, to jobs@ego-gw.it quoting the reference number of this vacancy notice.
Contact Info

E-mail contact: jobs@ego-gw.it
Web: https://www.ego-gw.it/blog/2025/05/26/software-developer-infrastructure-and-systems-support/






Posted 10 June 2025



Back end, Operations, Systems

Developer / Engineer",https://www.python.org/jobs/7880/
CNO Python Software Engineer,N/A,"Systems, CNO Engineer",09 June 2025,"CNO Python Software Engineer
              
	      
              ManTech
	    

Hanover, US



Job Title 

        CNO Python Software Engineer

        Job Description
Requirements:

I need someone who can demonstrate solid knowledge of Python and XML.
The candidate should perform system and subsystem definition, preliminary and detailed design, design implementation, and subsystem and system integration and tests for a system.
The role involves researching requirements for products, including CNO deployment environments, performance criteria, and competitive issues.
I expect the ability to design ideas for new capabilities or make recommendations for improvements to existing capabilities.
Knowledge of multiple software development methodologies (e.g., Scrum, TDD, Waterfall) is important.
The candidate must determine computer user needs and analyze system capabilities to resolve problems on program intent, output requirements, input data acquisition, and programming.
I require strict adherence to software standards.
I ask that you modify existing software to correct errors, adapt to new requirements, or improve performance.
Debugging and troubleshooting software will be essential.
You will be responsible for performing quality control on team products.
I need someone to coordinate and perform software deployments for developed products.

Restrictions

No telecommuting
No Agencies Please

Requirements
Must:

I require a Bachelor's Degree in Computer Science or a related field from an accredited college or university.
I expect 7 years of programming experience or, in lieu of a degree, 11 years of programming experience.
Experience with Python is essential.
Familiarity with build environments such as Gradle or Maven is necessary.
I ask for experience with Object-Oriented Analysis and Design.
I seek candidates with knowledge of Software Version Control.
Understanding of the CNO environment is a plus.
Familiarity with agile software development methodology is required.
Knowledge of XML or XSLT is also needed.

About the Company
I am looking for a motivated, career and customer-oriented CNO Python Software Engineer to join our team in Hanover, Maryland. This role involves providing specialized testing and evaluation capabilities tailored to system functions. Candidates should hold an active and current TS/SCI with Polygraph security clearance. The position may involve physical requirements such as remaining in a stationary position for 50% of the time and operating office productivity machinery like computers and printers. Additionally, effective communication with co-workers, management, and customers is a necessity, which may involve delivering presentations.
At ManTech International Corporation, we prioritize our employees and are committed to equal opportunity. We do not discriminate against any employee or applicant based on protected characteristics. Should you need accommodations during the application process, please reach out, and we will assist you.
Contact Info

E-mail contact: dontsendemail@usetheapply.link
Web: https://devitjobs.com/jobs/ManTech-CNO-Python-Software-Engineer






Posted 09 June 2025



Systems

Developer / Engineer",https://www.python.org/jobs/7879/
Senior Software Engineer,N/A,"Back end, Machine Learning, Systems",06 June 2025,"Senior Software Engineer
              
	      
              Simons Foundation
	    

New York, New York, United States



Job Title 

        Senior Software Engineer

        Job Description
POSITION SUMMARY
The Simons Foundation is seeking an experienced Senior Software Engineer, with significant back-end engineering experience, to join its Autism and Neuroscience Division. The Senior Software Engineer will report to the Principal Software Engineer and Team Lead and will work collaboratively with back-end and front-end engineers to create and maintain real-time, robust, high-quality, highly available and highly scalable distributed systems. These systems will support scientific initiatives of the division, including SPARK, an online platform that supports the engagement of tens of thousands of families affected by autism, as well as researchers working to better understand autism.
This full-time position is based on-site in the Simons Foundation offices in New York City.
For more information, visit simonsfoundation.org/careers.
ESSENTIAL FUNCTIONS/RESPONSIBILITIES
Develop new informatics tools to support scientific initiatives of the Autism and Neuroscience division, including supporting Informatics’ efforts for SPARK.
Design, develop and maintain systems for querying, analyzing and visualizing various types of data and manage and update system workflows
Operationalize real-time data synchronization and large-scale data-processing frameworks
Develop test frameworks and operational tools for the services
Work collaboratively with other members of the Informatics team and other key stakeholders
Ensure stakeholder expectations are met, and requests are completed in a timely and efficient manner. Keep stakeholders apprised of any changes to projected schedule and unanticipated outcomes
Perform any other duties or tasks as assigned or required
Restrictions

No telecommuting
Agencies are OK

Requirements
MINIMUM QUALIFICATIONS:
Education:
Bachelor’s degree in computer science or related discipline; a master’s degree is preferred.
Experience:
At least 10 years of experience as a software engineer or similar position
Extensive experience with Python and Django
Extensive experience with Linux
In-depth knowledge of databases
High-quality distributed systems
RESTful API services
Message queues and background workers
High-volume data processing
Related Skills & Other Requirements
Experience with Celery distributed task queue
Experience with data security
COMPENSATION AND BENEFITS
The full-time annual compensation range for this position is $160,000 - $200,000, depending on experience.
In addition to competitive salaries, the Simons Foundation provides employees with an outstanding benefits package.
About the Company
Our Commitment to Expanding Pathways to Science & Opportunities for All
Many of the greatest ideas and discoveries come from a diverse mix of minds, backgrounds, and experiences. The Simons Foundation is committed to advancing basic science and mathematics to benefit humankind and expand our collective understanding of our world. As part of our mission, we support partners, programs, and initiatives that seek to broaden the scientific community and open pathways to science and mathematics careers.
The Simons Foundation provides equal opportunities to all applicants without regard to race, religion, color, age, sex, pregnancy, national origin, sexual orientation, gender identity, genetic disposition, neurodiversity, disability, veteran status, or any other protected category under federal, state, and local law.
Contact Info

E-mail contact: khoey@simonsfoundation.org
Web: https://simonsfoundation.wd1.myworkdayjobs.com/en-US/simonsfoundationcareers/details/Senior-Software-Engineer--Back-End-_R0001747-1






Posted 06 June 2025



Back end, Machine Learning, Systems

Developer / Engineer",https://www.python.org/jobs/7878/
Senior Full-Stack Product Engineer,N/A,"Back end, Cloud, Database, Web",05 June 2025,"Senior Full-Stack Product Engineer
              
	      
              SOUS
	    

Amsterdam, Netherlands



Job Title 

        Senior Full-Stack Product Engineer

        Job Description
Over 2 million food & beverage (F&B) businesses operate in the EU.
60% face failure within their first year
80% in five years.
SOUS is here to change that.
We’re building a platform that empowers independent F&B creators to thrive—unlocking new revenue streams, cutting costs, and scaling online growth with ease. From e-commerce to delivery management to building loyal communities, we’re reimagining how independent F&B brands grow in a digital-first world.
In just two years, we’ve scaled rapidly, onboarded top talent, and brought in over €8M in sales for our clients. Now, we’re evolving—transitioning to a SaaS-first model that will shape the future of the €100B independent F&B market.
To make this vision a reality, we’re searching for a Senior Full-Stack Product Engineer who’s as excited about building great products as they are about leading a team. If you’re ready to roll up your sleeves, write brilliant code, and influence the technical direction of a high-growth startup, we’d love to meet you.
Restrictions

No telecommuting
No Agencies Please

Requirements
TASKS
Code, Build, and Ship (70%-80% of your time):

Develop and refine our core backend (Django) and frontend (React + TypeScript).
Create and improve APIs for users, orders, shipping, and partner tools.
Build smart integrations with tools like Shopify and Mendrix.
Scale and optimize cloud hosting on GCP (and AWS in the future).
Ensure our stack is clean, scalable, and future-proof.

Product Engineering (20%-30% of your time):

Architect and scale multi-tenant SaaS solutions for the next phase of SOUS.
Collaborate with product, design, and operations teams to align technical plans with business goals.
Set the bar for code quality, testing (TDD/BDD), and CI/CD workflows.
Mentor developers to help them grow while creating a culture of engineering excellence.
Identify opportunities to innovate and improve.

REQUIREMENTS
Hands-On Experience:

You’ve been in the trenches as a full-stack developer for 6+ years, and you’re fluent in Python (Django) and JavaScript/TypeScript (React).
You’ve built and scaled SaaS applications that are battle-tested in production.
Your database game is strong—PostgreSQL and ORMs are second nature to you.

Leadership in Action:

You’ve led teams, balancing writing code with mentoring and decision-making.
You can architect systems that are both elegant and robust while keeping your hands dirty in the codebase.

Smart Development Practices:

Testing isn’t just a buzzword for you—it’s how you build (Pytest, React Testing Library).
You’re fluent in Git workflows and CI/CD tools (e.g., Bitbucket Pipelines).

API experience:

Deep experience in building and integrating APIs—whether it’s RESTful APIs, JWT Auth, or third-party tools like Shopify and Mendrix.

Frontend Know-How:

Modern frameworks (React, MUI) are where you shine.
You know how to make frontends fast, responsive, and delightful.

Bonus Points For:

Experience with Firebase (Auth, Hosting) or Google Analytics.
Building SaaS platforms and multi-tenant architectures.
A background in e-commerce, marketplaces, or scaling startups.

WHY SOUS?

Competitive Salary + Equity: €85k + options—you’ll grow with us.
Shape the Future: Your contributions will define what SOUS becomes.
Flexibility: While we’re primarily on-site, we value flexibility when it makes sense.
Passion-Driven Team: Join a group of foodies and techies who love solving big problems.
High Impact: Be part of a mission that’s changing the way F&B creators succeed.

WHAT TO EXPECT IN THE HIRING PROCESS:

A 30-minute intro call to get to know each other.
A 60-minute technical deep dive.
A take-home project (with a 90-minute review session).
A 45-minute cultural alignment chat to see if we’re a match.

Ready to make an impact? Let’s build something incredible together.
Contact Info

Contact: William Hurst
E-mail contact: william@eatsous.com
Web: https://join.com/companies/eatsous/14280496






Posted 05 June 2025



Back end, Cloud, Database, Web

Developer / Engineer",https://www.python.org/jobs/7877/
LLM - Python for Computer Vision,N/A,"Back end, Cloud, Front end, Integration, Machine Learning, Computer Vision, Python, Pytorch, OpenCV, Image Recognition",05 June 2025,"LLM - Python for Computer Vision
              
	      
              Thisan Mikal
	    

Remote, Any, Worldwide



Job Title 

        LLM - Python for Computer Vision

        Job Description
Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science, or a related field.
At least 2+ years of experience as a Python-focused Engineer.
Expertise in image processing and computer vision algorithms using CNNs.
Strong experience with TensorFlow/PyTorch for developing, training, and deploying vision models.
Proficiency in OpenCV for image processing tasks.
Excellent spoken and written English communication skills.

Nice to Have:

Experience with Keras for quick prototyping of deep learning models.
Familiarity with Large Language Models (LLMs) and their applications in AI.
Knowledge of cloud platforms such as AWS, Azure, or Google Cloud

Restrictions

Telecommuting is OK
No Agencies Please

Requirements
Mandatory Skills

Python, Python for Data Science, Computer Vision, PyTorch, OpenCV, Tensorflow, Image Recognition

About the Company
One of the leading Remote job Provider in the World!
Contact Info

Contact: Nagini
E-mail contact: thisanmikal2025@gmail.com
Web: https://www.linkedin.com/company/thisan-mikal-s-careerpulse/






Posted 05 June 2025



Back end, Cloud, Front end, Integration, Machine Learning

Developer / Engineer",https://www.python.org/jobs/7876/
Senior Python Developer,N/A,"Back end, Front end",04 June 2025,"Senior Python Developer
              
	      
              Foxley Talent
	    

London, Select state, United Kingdom



Job Title 

        Senior Python Developer

        Job Description
Our client is seeking a skilled and passionate Python Developer to help scale their platforms that power a suite of socially conscious financial technology products.
As a Python Developer, you’ll join a fast-paced, cross-functional team responsible for delivering backend systems and user-facing features that support a high-integrity, mission-led business.
This is an ideal opportunity for someone who enjoys solving meaningful problems, building modern systems, and contributing to tech that has a real-world social impact. Take this chance to use your coding skills to make a tangible difference in people's lives.
Please note, this company is not in a position to offer visa sponsorship or relocation. Please apply if you are legally eligible to work in the UK and are able to commute into central London 3 days per week.
Restrictions

No telecommuting
Agencies are OK

Requirements
Key Responsibilities

Lead and deliver technical projects that evolve with customer needs and business goals.
Collaborate with design, data, operations, and product teams to deliver features with both user and business value.
Balance complexity and usability, making sound trade-offs between speed, reliability, and maintainability.
Design and develop scalable systems that support accessible and responsible financial products, such as risk scoring, digital underwriting, payment services, and loan servicing.
Improve the development experience through better tooling, testing, observability, and automation.
Help define and evolve engineering culture and processes within the team.

Key Skills Required

3+ years’ experience as a Python Developer with a full-stack focus.
Previous experience in a startup or high-growth environment.
Solid knowledge of PostgreSQL and experience building reliable, scalable systems.
Familiarity with modern JavaScript/TypeScript environments.
Enjoy working in ambiguity and balancing short-term goals with long-term vision.
Comfortable collaborating across disciplines in small teams to ship work quickly.
Approach problem-solving holistically—with consideration for users, stakeholders, and ethical implications.
The engineering team works in small, nimble cross-functional squads with a bias for shipping quickly and learning through iteration. They take a pragmatic approach to tech, using open-source tools and frameworks where they add value. If you believe something is the right tool for the job you will be listened to.

Tech stack includes: Python, TypeScript, Next.js, React.js, Nest.js, PostgreSQL, AWS, SQS, Pulumi, GitHub Actions, CloudWatch, Grafana, and Sentry.
About the Company
Foxley Talent, the go-to recruiter for the Python community is partnering with a new client, a tech for good startup building ethical, impactful digital solutions.
Compensation & Benefits

Salary:         £60,000–£90,000 depending on experience (plus equity)
Private Healthcare:      Provided (via Vitality)
Pension:       SMART pension scheme
£1,000 Annual Learning & Development budget
Hybrid Working:        3 days/week in-office in Central London (5 minute walk from Oxford Circus)

Apply now through Foxley Talent to explore how you can help shape ethical technology that drives real-world change. Send your latest CV and reasons for your interest in the role to hello@foxleytalent.com and we will review your application.
Contact Info

Contact: Jon Gould
E-mail contact: hello@foxleytalent.com
Web: https://foxleytalent.com/jobs/london-python-developer/






Posted 04 June 2025



Back end, Front end

Developer / Engineer",https://www.python.org/jobs/7875/
Principal Backend Engineer,N/A,"Image Processing, Machine Learning, Systems",03 June 2025,"Principal Backend Engineer
              
	      
              AutoHDR
	    

Austin, Texas, United States



Job Title 

        Principal Backend Engineer

        Job Description
Scale the backend for the AI that will edit all real estate photos on the internet. ﻿Lead a team of junior developers building AI editing models, new features, and a fast backend architecture.
We intend to 5X our daily photo editing volume in the coming months while decreasing the average time per photoshoot edited by 5x. You will own this:
Optimize, grow, and maintain our python/Kubernetes-based system orchestrating 20+ computer vision models with extreme reliability and speed (example daily task: optimize GPU memory usage to increase parallel inference capabilities in our GCP cluster to decrease processing time)
Design and implement new algorithms/models for image processing and editing throughout our photo sorting, detection, and editing pipeline.
Mentor junior developers building features and implementing new models/algorithms in the processing pipeline.
Restrictions

No telecommuting
No Agencies Please

Requirements
Requirements

6-10+ years building and scaling complex backend systems
Worked in a role overseeing high volume throughput of any kind

Example: Built and scaled software for defect detection in a manufacturing process.

High agency problem solving skills with low to no guidance. If given an objective, you make it happen and delete obstacles.
Extreme productivity and speed on all work you do. Your default assumption should be that large projects can be built and shipped on a daily/weekly timeframe.
Obsessive focus on engineering excellence and delivering world class output for users.
Willing to spend extreme amounts of time building AutoHDR to achieve our goal of editing all real estate photos
Track record of mentoring and growing junior devs
Expert-level proficiency/experience in Python (FastAPI), relational databases (MySQL), model training/deployment (optional) and Kubernetes (optional).

About the Company
AutoHDR is the first AI real estate photo editor. Today we process 20,000 images each day; within the coming months we aim to edit more than 100,000 while cutting delivery time from 30 minutes per shoot to under 10. We are looking for an experienced backend engineer to scale the systems and work on complex models, algorithms, and features that make this growth possible while guiding a small team of developers.
Contact Info

Contact: Matt Giacchetti
E-mail contact: matt@autohdr.com
Web: https://www.autohdr.com/






Posted 03 June 2025



Image Processing, Machine Learning, Systems

Developer / Engineer",https://www.python.org/jobs/7874/
CTO (Python Expert & Technical Leader) – Equity/Stock Options Available,N/A,"Back end, Cloud, Database, Management",28 May 2025,"CTO (Python Expert & Technical Leader) – Equity/Stock Options Available
              
	      
              Domainsbot
	    

Rome, Italy



Job Title 

        CTO (Python Expert & Technical Leader) – Equity/Stock Options Available

        Job Description
This is a consultant role: you must be able to invoice and work as an independent contractor. You are a hands-on technical leader who understands the importance of infrastructure resilience, data quality, and long-term vision. You don’t just solve problems—you prevent them. We are looking for proficiency in programming, preferably in Python.
What We Offer:

A strategic leadership role in a profitable and fast-evolving company
Stock options and variable compensation based on experience and cultural fit
High autonomy and influence over technical direction
Flexible remote work with async-first communication
A chance to work on meaningful problems for clients who rely on our insights every day

If you’re passionate about domains, cybersecurity, and building high-performing teams (and you’re excited by the idea of leading a core tech function in a small but impactful company) we want to hear from you.
Restrictions

Telecommuting is OK
No Agencies Please

Requirements

Senior level proficiency in Programming (preferably Python)
Experience with AWS, Linux
Proven ability to design and maintain resilient, scalable systems
Willingness to handle technical emergencies when needed
A long-term mindset — ready to commit for at least 5 years
Ability to lead a small technical team, answering hard questions and making others better
Experience with project management and people leadership
At least 2 hours of daily overlap with GMT+3 and GMT-5
Fluent in English, both written and spoken
Experience with system design and architecture
Familiarity with AI trends and capabilities
Strong hiring instincts and ability to grow a team
Availability to start working within 30 days from the date of hire

About the Company
Domainsbot is a 20 years old, profitable and growing software company of fewer than 10 people, and we maintain the largest structured database of registered domains in the world. Our platform ingests WHOIS, DNS, HTTP, and SSL data for every domain, enriching and augmenting it into actionable intelligence. This data powers cutting-edge Domain and Website Intelligence and Brand Monitoring services used by Online Brand Protection and Cybersecurity providers, Corporate Registrars, and Law Firms worldwide.
We’re now looking for a Chief Technology Officer (CTO) and a business partner to lead our next phase of growth.
Apply at: [https://www.domainsbot.com/jobs/](https://www.domainsbot.com/jobs/)
Contact Info

Contact: Emiliano Pasqualetti
E-mail contact: do-not-email-us@domainsbot.com
Web: https://www.domainsbot.com/jobs






Posted 28 May 2025



Back end, Cloud, Database, Management

Developer / Engineer",https://www.python.org/jobs/7870/
VP of Engineering,N/A,"Back end, Big Data, Cloud, Integration, Lead, Machine Learning, Management, Operations, Systems",26 May 2025,"VP of Engineering
              
	      
              Permutable AI
	    

London, London, United Kingdom



Job Title 

        VP of Engineering

        Job Description
Permutable Technologies is a cutting-edge AI company helping the world’s top financial institutions make smarter decisions through real-time market intelligence and LLM-driven news
analytics. We’re entering a critical phase of growth - and we’re looking for an exceptional VP of Engineering to help us scale from start-up to industry leader.
You’ll lead and grow a talented team, build a world-class engineering culture, and work hand-in-hand with our commercial and product teams to deliver ML/AI-powered tools that solve real-world problems in commodities and financial markets.
What You’ll Be Doing:

Own the technical strategy and execution across our core products, including real-time API services, forecasting engines, and LLM-driven insights.
Partner with Product and Data Science to build and deliver the technology roadmap aligned with our strategic priorities.
Lead and mentor a growing team (currently ~10, with plans to scale), fostering a culture of technical excellence, ownership, and speed.
Oversee architecture decisions, system scalability, and efficient data infrastructure design.
Ensure engineering and delivery standards are met consistently while staying hands-on with key decisions.
Hire top-tier talent and promote an inclusive and collaborative team environment.
Oversee IT, DevOps, InfoSec, and Customer Engineering, ensuring smooth internal operations and secure infrastructure.
Represent engineering on the leadership team, communicating clearly across tech, product, and commercial functions.

Restrictions

No telecommuting
No Agencies Please

Requirements

Proven leadership minimum 8 solid years experience in a SaaS B2B environment, ideally in an AI/ML or data-centric company.
Experience scaling teams in start-ups or Series A/B growth phases (experience at both start-up and enterprise level is a bonus).
Deep technical fluency across Python, distributed systems, cloud infrastructure (Azure preferred), and scalable architectures.
Strong understanding of Agile development, continuous delivery, and lean team dynamics.
People-first leadership style with a track record of mentoring and developing high-performing teams.
Exposure to machine learning, NLP, or financial data products is highly desirable.
Ability to operate in ambiguity, balancing rapid execution with strategic long-term thinking.

About the Company
Permutable AI is a fast-growing, deep-tech company at the forefront of AI-driven market intelligence. We empower the world’s leading financial institutions - hedge funds, asset managers, investment banks, and commodity traders - with real-time insights that drive smarter, faster decision-making. Our platform leverages cutting-edge natural language processing and large language models  to transform global news and unstructured data into structured, actionable intelligence across commodities, macroeconomics, currencies, and digital assets.
We’re building tools that don’t just react to markets - they anticipate them. Our flagship product, Trading Co-Pilot, delivers real-time sentiment analysis, predictive forecasts, and narrative detection that help our clients stay ahead of market-moving events. With a team of world-class engineers, data scientists, and commercial strategists, we’re on a mission to redefine how institutions understand and act on information at scale.
At Permutable, you’ll be joining an ambitious and collaborative environment where innovation moves fast, impact is immediate, and next-generation technology is at the core of everything we do. As we scale, we’re continuously investing in our infrastructure, research, and people - making this an exciting time to join our journey.
Contact Info

Contact: Wilson Chan
E-mail contact: jobs@permutable.ai
Web: https://www.permutable.ai






Posted 26 May 2025



Back end, Big Data, Cloud, Integration, Lead, Machine Learning, Management, Operations, Systems

Manager / Executive",https://www.python.org/jobs/7869/
Associate Principal Graph Data Scientist,N/A,Machine Learning,23 May 2025,"Associate Principal Graph Data Scientist
              
	      
              AstraZeneca
	    

Macclesfield/Gothenburg, UK/Sweden



Job Title 

        Associate Principal Graph Data Scientist

        Job Description
As an Associate Principal Graph Data Scientist, you'll leverage your expertise to lead groundbreaking projects that revolutionize our drug development processes. Working within the PT&D department, you will be instrumental in transforming molecules into innovative medical treatments. PT&D is at the forefront of developing breakthrough synthetic routes, drug formulations and delivery technologies to ensure our products meet the highest standards of efficacy, safety, and quality.
In this role, you will lead projects involving chemical reaction modelling, synthesis pathway optimization, chemical property prediction, and scientific knowledge discovery using graph-based machine learning techniques. Your contributions will be vital in shaping our approach to drug development and advancing our mission to deliver life-changing medicines to patients.
Restrictions

No telecommuting
No Agencies Please

Requirements

Advanced degree in computer science, data science, artificial intelligence, machine learning or related fields.
Excellent coding skills in languages such as Python, R.
Significant industrial experience in data science with a focus on graph machine learning and experience with ML frameworks like PyTorch, TensorFlow, or DGL.
Hands-on industrial experience with extracting insight from graph databases such as Neo4j Enterprise.
Significant hands-on industrial experience with applied machine learning domains such as deep learning, NLP, GenAI.
Experience developing data science models and partnering with MLOps teams to productionise models

About the Company
Pharmaceutical Technology and Development (PT&D) is the organization at AstraZeneca that turns brilliant science into actual medicines that help millions of people. We work across the entire value chain, designing and delivering active ingredients, formulations and devices for new medicines and providing expert technical support to all AstraZeneca’s commercial drug substances and products to ensure we successfully supply medicines to patients.
Contact Info

E-mail contact: usethe@application.link
Web: https://astrazeneca.wd3.myworkdayjobs.com/broadbean_external/job/Sweden---Gothenburg/Associate-Principal-Graph-Data-Scientist---Pharmaceutical-Development_R-227384






Posted 23 May 2025



Machine Learning

Researcher / Scientist",https://www.python.org/jobs/7868/
